Time(s)      IPC       Instructions    Cycles
----------------------------------------------
0.10         0.0000    0               300300195.0
0.20         0.0000    0               300300339.0
0.30         0.0000    0               300300365.0
0.40         0.0000    0               300300301.0
0.50         0.0000    0               300300301.0
0.60         0.0000    0               300300299.0
0.70         0.0000    0               300300302.0
0.80         0.0000    0               300300300.0
0.90         0.0000    0               290345240.0
1.00         0.0000    0               300249714.0
1.10         0.0000    0               300259740.0
1.20         0.0000    0               300251432.0
1.30         0.0000    0               300247768.0
1.40         0.0000    0               300249638.0
1.50         0.0000    0               300249586.0
1.60         0.0000    0               300249638.0
1.70         0.0000    0               300249562.0
1.80         0.0000    0               300249638.0
1.90         0.0000    0               300249538.0
2.00         0.0000    0               300249638.0
2.10         0.0000    0               300249562.0
2.20         0.0000    0               300249638.0
2.30         0.0000    0               300249586.0
2.40         0.0000    0               300249638.0
2.50         0.0000    0               300249562.0
2.60         0.0000    0               300249638.0
2.70         0.0000    0               300249538.0
2.80         0.0000    0               300249638.0
2.90         0.0000    0               300249562.0
3.00         0.0000    0               300249638.0
3.10         0.0000    0               300249586.0
3.20         0.0000    0               300249638.0
3.30         0.0000    0               300249562.0
3.40         0.0000    0               300249638.0
3.50         0.0000    0               300249538.0
3.60         0.0000    0               300249638.0
3.70         0.0000    0               300249562.0
3.80         0.0000    0               300249638.0
3.90         0.0000    0               300239371.0
4.00         0.0000    0               300249651.0
4.10         0.0000    0               300259764.0
4.20         0.0000    0               300249638.0
4.30         0.0000    0               300249538.0
4.40         0.0000    0               300277769.0
4.50         0.0000    0               300211177.0
4.60         0.0000    0               300249638.0
4.70         0.0000    0               300249642.0
4.80         0.0000    0               300259895.0
4.90         0.0000    0               300249503.0
5.00         0.0000    0               312259560.0
5.10         0.0000    0               3554756.0
